index,source_key,name,endpoint_type,url,status,poll_interval_seconds,metadata_json
0,batcha-rss-001,Seoul Economic Daily Economy RSS,rss,https://www.sedaily.com/rss/economy,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.sedaily.com/rss/economy""}"
1,batcha-rss-001,Seoul Economic Daily Politics RSS,rss,https://www.sedaily.com/rss/politics,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.sedaily.com/rss/politics""}"
2,batcha-rss-001,Seoul Economic Daily IT RSS,rss,https://www.sedaily.com/rss/it,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.sedaily.com/rss/it""}"
3,batcha-rss-002,Yonhap Politics RSS,rss,https://www.yna.co.kr/rss/politics.xml,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.yna.co.kr/rss/politics.xml""}"
4,batcha-rss-002,Yonhap Economy RSS,rss,https://www.yna.co.kr/rss/economy.xml,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.yna.co.kr/rss/economy.xml""}"
5,batcha-rss-002,Yonhap North Korea RSS,rss,https://www.yna.co.kr/rss/northkorea.xml,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.yna.co.kr/rss/northkorea.xml""}"
6,batcha-rss-003,Dong-A Ilbo Politics RSS,rss,https://rss.donga.com/politics.xml,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://rss.donga.com/politics.xml""}"
7,batcha-rss-003,Dong-A Ilbo Economy RSS,rss,http://rss.donga.com/economy.xml,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""http://rss.donga.com/economy.xml""}"
8,batcha-rss-003,Dong-A Ilbo National RSS,rss,http://rss.donga.com/national.xml,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""http://rss.donga.com/national.xml""}"
9,batcha-rss-004,Korea Economic Daily Politics RSS,rss,https://www.hankyung.com/feed/politics,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.hankyung.com/feed/politics""}"
10,batcha-rss-004,Korea Economic Daily Economy RSS,rss,https://www.hankyung.com/feed/economy,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""South Korea""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://www.hankyung.com/feed/economy""}"
11,phase1-rss-037,Taiwan MOFA English Open Data RSS 1,rss,https://en.mofa.gov.tw/OpenData.aspx?SN=07564A7F01D47BAD,disabled,900,"{""inventory_version"":""0.2"",""inventory_date"":""2026-07-23"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""verification_status"":""pending_health_check"",""candidate_verified_by_user"":true,""seed_batch"":""phase1-native-rss-v0.2-batch-a"",""original_feed_url"":""https://en.mofa.gov.tw/OpenData.aspx?SN=07564A7F01D47BAD""}"
